City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,fray luis a. beltran,-32.7912,-60.7282,291.13,95,100,8.75,AR,1713216630
351,kattivakkam,13.2167,80.3167,301.2,81,98,3.57,IN,1713216632
352,alo,7.4178,6.7371,301.42,73,83,1.05,NG,1713216633
353,ingeniero jacobacci,-41.3427,-69.5448,288.14,50,100,10.63,AR,1713216635
354,ekenas,59.9736,23.4339,278.09,90,83,3.1,FI,1713216636
355,aioun,16.6614,-9.6149,300.13,12,11,5.17,MR,1713216637
356,novodvinsk,64.4165,40.8122,276.01,99,100,1.3,RU,1713216639
357,collie,-33.3667,116.15,284.47,97,6,2.31,AU,1713216640
358,lamu,-2.2717,40.902,300.36,80,100,6.69,KE,1713216641
359,tralee,52.2704,-9.7026,280.79,77,44,9.12,IE,1713216643
360,machico,32.7,-16.7667,296.0,77,20,5.66,PT,1713216644
361,merizo village,13.2658,144.6691,300.92,93,62,5.44,GU,1713216645
362,pangani,-5.4333,38.9667,297.86,86,100,7.2,TZ,1713216437
363,sampit,-2.5333,112.95,296.09,98,56,0.47,ID,1713216648
